time,temperature,power,door_open
0,10.17640523,2.825296768,0
1,7.464563706,2.337921583,0
2,5.183099948,1.82767984,0
3,3.706508345,1.535687992,0
4,2.470892285,1.223662631,0
5,1.41355801,0.77741262,0
6,0.972927258,0.87036895,0
7,0.320528877,0.967383697,0
8,-0.323064733,0.723203305,0
9,-0.797479252,0.713533218,0
10,-1.16371221,0.487027283,0
11,-1.473087153,0.404417351,0
12,-1.475779882,0.532593059,0
13,-1.593373517,0.34177864,0
14,-1.600546488,0.311827484,0
15,-1.526864707,0.381194849,0
16,-1.634403234,0.387164037,0
17,-1.628513227,0.26127752,0
18,-1.629711912,0.429252157,0
19,-1.580026901,0.474228784,0
20,-1.84811608,0.322491818,0
21,-1.832336235,0.430098997,0
22,-1.679692264,0.603650465,0
23,-2.023108619,0.238303014,0
24,-2.015708746,0.469102758,0
25,-2.074875656,0.336074871,0
26,-2.070354019,0.376128133,0
27,-2.104655403,0.20202042,0
28,-2.083082447,0.527745629,0
29,-2.317951244,0.473165647,0
30,-2.350597415,0.470887012,0
31,-2.579732504,0.295461436,0
32,-2.284951184,0.183069684,0
33,-2.114735341,0.257596146,0
34,-2.108398728,0.513246627,0
35,-2.308389496,0.220888835,0
36,-2.162091718,0.385224986,0
37,-2.092667456,0.37106718,0
38,-2.304147901,0.33310959,0
39,-1.909935761,0.276730625,0
40,-2.198388469,0.264163846,0
41,-1.989788826,0.342196982,0
42,-1.867344945,0.26853786,0
43,-1.950735903,0.4547949,0
44,-2.133746514,0.407686995,0
45,-1.958918313,0.477019317,0
46,-2.104494963,0.360973773,0
47,-2.154290952,0.215717525,0
48,-2.154019597,0.250241103,0
49,-2.091199258,0.394283293,0
50,-2.134728473,0.328270813,0
51,-2.206065393,0.30485864,0
52,-1.91183334,0.350478699,0
53,-1.94418343,0.577486909,0
54,-2.231835327,0.279695017,0
55,-2.072773614,0.39945843,0
56,-2.176519392,0.240893031,0
57,-1.984733553,0.44407118,0
58,-2.08190357,0.286977376,0
59,-2.45004028,0.164397444,0
60,-1.964061291,0.405335889,0
61,-1.9945148,0.366747694,0
62,-2.056189641,0.314969899,0
63,-2.001488486,0.295416155,0
64,-2.031021462,0.421915518,0
65,-1.972948487,0.2916666,0
66,-1.949882241,0.330244464,0
67,-1.967479926,0.275167589,0
68,-1.800629586,0.332295286,0
