,time,X-axis,Y-axis,X-velocity,Y-velocity,angle,angular_velocity,wind_speed,main_engine_power,left_right_engine_power
0,2016-04-08 00:00:00,-0.0035567284,1.4097718,-0.36029285,-0.051045157,0.0041283537,0.08161173,-9.452111,-0.9590672,1.0
1,2016-04-08 00:00:01,-0.0071038245,1.4080474,-0.35664934,-0.076641835,0.006039939,0.038236167,-9.425687,-0.91833353,1.0
2,2016-04-08 00:00:02,-0.010638428,1.405727,-0.35318202,-0.10312692,0.0057708384,-0.0053823343,-9.396636,-0.85928667,1.0
3,2016-04-08 00:00:03,-0.014163494,1.4027956,-0.3501089,-0.1302758,0.0034105063,-0.04721133,-9.364727,-0.7035378,0.4568236
4,2016-04-08 00:00:04,-0.017763233,1.3992643,-0.3576307,-0.15694435,0.0010899003,-0.046416163,-9.329705,-0.71014106,0.44410425
5,2016-04-08 00:00:05,-0.021437645,1.395133,-0.36512196,-0.18361293,-0.0011914166,-0.045630727,-9.291286,-0.7203486,0.43720895
6,2016-04-08 00:00:06,-0.025186157,1.3904018,-0.37257987,-0.21028155,-0.0034325763,-0.044827722,-9.249162,-0.73034215,0.43557602
7,2016-04-08 00:00:07,-0.029008389,1.3850706,-0.38000053,-0.23695017,-0.0056332126,-0.044016853,-9.202991,-0.739733,0.4338441
8,2016-04-08 00:00:08,-0.032904148,1.3791394,-0.38738066,-0.26361886,-0.007792957,-0.043199133,-9.152399,-0.7649821,0.4823376
9,2016-04-08 00:00:09,-0.036872767,1.3726082,-0.39471632,-0.29028752,-0.009911486,-0.042374738,-9.096981,-0.7610705,0.48898017
10,2016-04-08 00:00:10,-0.04091377,1.365477,-0.40200323,-0.3169562,-0.011988502,-0.041544292,-9.036291,-0.7329881,0.47661966
11,2016-04-08 00:00:11,-0.045026876,1.3577458,-0.40923676,-0.34362495,-0.014023738,-0.04070859,-8.969848,-0.7113687,0.47208637
12,2016-04-08 00:00:12,-0.049211122,1.3494146,-0.41641182,-0.3702937,-0.016016977,-0.03986844,-8.897125,-0.6604457,0.51144654
